Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Beaulieu, Mario",La Pointe-de-l'Île,Bloc Québécois,45918.41,9301.84,469.39,47355.19
"Beech, Terry",Burnaby North—Seymour,Liberal,65739.03,6901.53,210.56,29404.54
"Bendayan, Rachel",Outremont,Liberal,52725.88,7872.08,0.00,23509.46
"Bennett, Hon. Carolyn",Toronto—St. Paul's,Liberal,60978.80,1500.00,0.00,31429.63
"Benzen, Bob",Calgary Heritage,Conservative,67402.58,2206.45,174.73,21698.12
"Bergen, Hon. Candice",Portage—Lisgar,Conservative,68769.00,26404.21,140.65,28158.61
"Bergeron, Stéphane",Montarville,Bloc Québécois,69844.94,8768.38,487.56,35821.15
"Berthold, Luc",Mégantic—L'Érable,Conservative,62309.32,11743.29,24.18,31138.67
"Bérubé, Sylvie",Abitibi—Baie-James—Nunavik—Eeyou,Bloc Québécois,53639.48,17936.84,339.93,40837.04
"Bessette, Lyne",Brome—Missisquoi,Liberal,65246.63,3347.85,66.16,27645.12
"Bezan, James",Selkirk—Interlake—Eastman,Conservative,87186.13,11978.75,84.65,25677.27
"Bibeau, Hon. Marie-Claude",Compton—Stanstead,Liberal,78679.34,10776.80,116.35,24995.68
"Bittle, Chris",St. Catharines,Liberal,86874.05,7149.93,0.00,13960.22
"Blaikie, Daniel",Elmwood—Transcona,New Democratic Party,61177.48,6486.59,0.00,17076.21
"Blair, Hon. Bill",Scarborough Southwest,Liberal,67407.69,9261.34,0.00,15449.46
"Blanchet, Yves-François",Beloeil—Chambly,Bloc Québécois,68714.40,20698.80,341.57,30215.85
"Blanchette-Joncas, Maxime",Rimouski-Neigette—Témiscouata—Les Basques,Bloc Québécois,55919.50,15081.65,611.23,24074.46
"Blaney, Rachel",North Island—Powell River,New Democratic Party,91017.18,17049.24,344.44,40251.12
"Blaney, Hon. Steven",Bellechasse—Les Etchemins—Lévis,Conservative,80437.06,6809.35,347.82,42107.12
"Block, Kelly",Carlton Trail—Eagle Creek,Conservative,72657.88,14343.80,0.00,27550.06
"Blois, Kody",Kings—Hants,Liberal,48296.92,3498.67,146.19,13875.29
"Boudrias, Michel",Terrebonne,Bloc Québécois,81597.77,4596.73,81.13,20451.82
"Boulerice, Alexandre",Rosemont—La Petite-Patrie,New Democratic Party,68977.93,4885.22,245.00,24911.13
"Bragdon, Richard",Tobique—Mactaquac,Conservative,74569.04,8680.21,0.00,22215.02
"Brassard, John",Barrie—Innisfil,Conservative,65108.69,6297.51,0.00,35266.79
"Bratina, Bob",Hamilton East—Stoney Creek,Liberal,75549.61,5806.42,0.00,15821.03
"Brière, Élisabeth",Sherbrooke,Liberal,73897.36,6866.89,36.97,14153.52
"Brunelle-Duceppe, Alexis",Lac-Saint-Jean,Bloc Québécois,83277.99,13104.23,355.08,14893.16
"Caesar-Chavannes, Celina",Whitby,Independent,0.00,0.00,0.00,2094.08
"Calkins, Blaine",Red Deer—Lacombe,Conservative,75236.60,15032.88,729.10,22022.64
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,78918.00,8732.09,0.00,19958.34
"Carr, Hon. Jim",Winnipeg South Centre,Liberal,54240.01,6725.88,101.88,23002.64
"Carrie, Colin",Oshawa,Conservative,65000.96,5021.20,0.00,34957.42
"Casey, Sean",Charlottetown,Liberal,73387.15,5366.09,228.60,17509.34
"Chabot, Louise",Thérèse-De Blainville,Bloc Québécois,54699.30,2060.59,380.70,28761.64
"Chagger, Hon. Bardish",Waterloo,Liberal,53552.60,10909.35,0.00,20244.10
"Champagne, Hon. François-Philippe",Saint-Maurice—Champlain,Liberal,74119.86,5929.72,0.00,18933.95
"Champoux, Martin",Drummond,Bloc Québécois,59775.83,11390.60,2227.42,26831.15
"Charbonneau, Louise",Trois-Rivières,Bloc Québécois,78388.16,9705.13,130.99,21743.89
"Chen, Shaun",Scarborough North,Liberal,67292.95,0.00,0.00,16014.92
"Chiu, Kenny",Steveston—Richmond East,Conservative,48902.26,16654.84,182.94,25596.98
"Chong, Hon. Michael",Wellington—Halton Hills,Conservative,71796.40,7047.72,0.00,15492.29
"Collins, Laurel",Victoria,New Democratic Party,75453.55,4890.78,0.00,27792.89
"Cooper, Michael",St. Albert—Edmonton,Conservative,83714.87,12760.72,251.46,30338.37
"Cormier, Serge",Acadie—Bathurst,Liberal,79960.16,248.90,152.80,16952.36
"Cumming, James",Edmonton Centre,Conservative,74782.16,8296.13,0.00,18784.15
"Dabrusin, Julie",Toronto—Danforth,Liberal,79977.06,0.00,139.50,21772.32
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,60631.51,15354.28,127.83,19607.16
"Damoff, Pam",Oakville North—Burlington,Liberal,88967.83,8578.73,75.00,14998.57
"Dancho, Raquel",Kildonan—St. Paul,Conservative,66375.29,10496.84,656.08,41251.25
"Davidson, Scot",York—Simcoe,Conservative,57518.30,13766.76,4327.19,26210.15
"Davies, Don",Vancouver Kingsway,New Democratic Party,74129.74,9159.77,180.97,42551.08
"DeBellefeuille, Claude",Salaberry—Suroît,Bloc Québécois,68302.33,8197.40,1149.66,41076.82
"Deltell, Gérard",Louis-Saint-Laurent,Conservative,72013.03,7892.89,1200.00,22849.75
"d'Entremont, Chris",West Nova,Conservative,57596.00,6000.00,0.00,23270.00
"Desbiens, Caroline",Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois,67408.66,2947.18,164.93,35287.09
"Desilets, Luc",Rivière-des-Mille-Îles,Bloc Québécois,68052.97,8968.71,465.69,30072.68
"Dhaliwal, Sukh",Surrey—Newton,Liberal,58889.32,10397.60,321.47,30144.90
"Dhillon, Anju",Dorval—Lachine—LaSalle,Liberal,70687.14,9724.44,0.00,24772.42
"Diotte, Kerry",Edmonton Griesbach,Conservative,61020.07,9544.43,43.63,10613.00
"Doherty, Todd",Cariboo—Prince George,Conservative,82183.46,35216.04,240.30,7061.11
"Dong, Han",Don Valley North,Liberal,67116.49,6222.00,5849.85,20803.08
"Donnelly, Fin",Port Moody—Coquitlam,New Democratic Party,0.00,0.00,0.00,432.28
"Dowdall, Terry",Simcoe—Grey,Conservative,61350.73,5588.86,0.00,27933.41
"Dreeshen, Earl",Red Deer—Mountain View,Conservative,66214.31,9095.98,405.30,24973.22
"Drouin, Francis",Glengarry—Prescott—Russell,Liberal,83575.68,3424.13,308.34,35138.02
"Dubourg, Emmanuel",Bourassa,Liberal,74022.50,5678.47,103.95,25489.87
"Duclos, Hon. Jean-Yves",Québec,Liberal,80627.69,11635.72,236.00,29714.63
"Duguid, Terry",Winnipeg South,Liberal,66569.76,9475.72,0.00,27355.90
"Duncan, Eric",Stormont—Dundas—South Glengarry,Conservative,65001.26,8250.90,579.83,22758.91
"Duncan, Hon. Kirsty",Etobicoke North,Liberal,62876.03,0.00,0.00,15389.78
"Duvall, Scott",Hamilton Mountain,New Democratic Party,78934.59,11425.26,82.90,20174.19
"Dzerowicz, Julie",Davenport,Liberal,75928.33,4660.00,90.97,27110.81
"Easter, Hon. Wayne",Malpeque,Liberal,88232.23,783.69,312.11,10505.13
"Ehsassi, Ali",Willowdale,Liberal,63067.38,0.00,1850.00,29414.93
"El-Khoury, Fayçal",Laval—Les Îles,Liberal,60397.86,6860.80,158.62,41794.87
"Ellis, Neil",Bay of Quinte,Liberal,75865.42,8696.99,113.14,20753.81
"Epp, Dave",Chatham-Kent—Leamington,Conservative,56533.85,17122.43,210.00,25609.94
"Erskine-Smith, Nathaniel",Beaches—East York,Liberal,78531.40,4679.18,333.15,18526.20
"Falk, Rosemarie",Battlefords—Lloydminster,Conservative,69920.02,10395.13,102.97,15612.51
"Falk, Ted",Provencher,Conservative,58667.18,6933.34,549.92,15082.07
"Fast, Hon. Ed",Abbotsford,Conservative,82125.06,7311.53,511.61,12794.39
"Fergus, Greg",Hull—Aylmer,Liberal,55486.37,600.46,359.12,39006.57
"Fillmore, Andy",Halifax,Liberal,66938.75,6235.60,340.00,20069.25
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,77800.43,17517.02,109.70,37508.70
"Finley, Hon. Diane",Haldimand—Norfolk,Conservative,86997.40,10140.52,117.53,22114.14
"Finnigan, Pat",Miramichi—Grand Lake,Liberal,56529.55,7072.52,127.45,26052.84
"Fisher, Darren",Dartmouth—Cole Harbour,Liberal,59538.16,5250.00,187.85,18548.59
"Fonseca, Peter",Mississauga East—Cooksville,Liberal,45610.53,2359.01,0.00,29619.87
"Fortier, Hon. Mona",Ottawa—Vanier,Liberal,87008.60,0.00,237.96,16015.82
"Fortin, Rhéal",Rivière-du-Nord,Bloc Québécois,66146.01,9118.64,235.83,22963.06
"Fragiskatos, Peter",London North Centre,Liberal,58682.12,0.00,184.06,39885.63
"Fraser, Sean",Central Nova,Liberal,71374.24,1017.42,0.00,15652.43
"Freeland, Hon. Chrystia",University—Rosedale,Liberal,53886.70,0.00,0.00,16232.81
"Fry, Hon. Hedy",Vancouver Centre,Liberal,59567.56,7177.53,0.00,40735.88
"Gallant, Cheryl",Renfrew—Nipissing—Pembroke,Conservative,68430.39,5435.51,43.24,33807.60
"Garneau, Hon. Marc",Notre-Dame-de-Grâce—Westmount,Liberal,45098.06,613.82,0.00,15683.54
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,79719.02,5239.15,0.00,22313.38
"Gaudreau, Marie-Hélène",Laurentides—Labelle,Bloc Québécois,65129.28,11319.71,666.62,35219.66
"Gazan, Leah",Winnipeg Centre,New Democratic Party,73053.29,8218.24,77.93,22558.01
"Généreux, Bernard",Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,63718.67,8825.43,81.21,30282.40
"Genuis, Garnett",Sherwood Park—Fort Saskatchewan,Conservative,84032.07,20869.00,338.12,19747.29
"Gerretsen, Mark",Kingston and the Islands,Liberal,100750.80,7129.90,0.00,24532.74
"Gill, Marilène",Manicouagan,Bloc Québécois,76999.21,55843.06,494.30,40902.99
"Gladu, Marilyn",Sarnia—Lambton,Conservative,76384.22,11942.27,0.00,18969.72
"Godin, Joël",Portneuf—Jacques-Cartier,Conservative,66777.52,4446.67,453.43,29568.28
"Gould, Hon. Karina",Burlington,Liberal,73217.26,480.85,11.97,31318.52
"Gourde, Jacques",Lévis—Lotbinière,Conservative,50552.46,11220.01,3017.64,57054.18
"Gray, Tracy",Kelowna—Lake Country,Conservative,71200.65,16578.15,51.10,14453.44
"Green, Matthew",Hamilton Centre,New Democratic Party,79897.17,8741.82,0.00,13548.13
"Guilbeault, Hon. Steven",Laurier—Sainte-Marie,Liberal,68024.88,5100.00,86.79,14182.28
"Hajdu, Hon. Patty",Thunder Bay—Superior North,Liberal,91608.73,6829.14,0.00,26499.06
"Hallan, Jasraj Singh",Calgary Forest Lawn,Conservative,69970.39,6000.00,2110.96,13249.56
"Harder, Rachael",Lethbridge,Conservative,78775.42,21745.85,1811.15,17686.83
"Hardie, Ken",Fleetwood—Port Kells,Liberal,86384.82,16201.02,0.00,23971.23
"Harris, Jack",St. John's East,New Democratic Party,69671.28,0.00,104.59,17424.03
"Hoback, Randy",Prince Albert,Conservative,72086.06,23720.80,2285.13,38947.42
"Holland, Hon. Mark",Ajax,Liberal,91449.86,8134.16,0.00,19932.13
"Housefather, Anthony",Mount Royal,Liberal,62411.91,0.00,120.81,29026.63
"Hughes, Carol",Algoma—Manitoulin—Kapuskasing,New Democratic Party,80745.68,12155.27,29.75,19459.23
"Hussen, Hon. Ahmed",York South—Weston,Liberal,87715.27,0.00,0.00,17544.07
"Hutchings, Gudie",Long Range Mountains,Liberal,87750.37,18661.97,0.00,28782.14
"Iacono, Angelo",Alfred-Pellan,Liberal,65449.71,288.16,102.61,42387.83
"Jaczek, Helena",Markham—Stouffville,Liberal,82096.81,5550.00,80.43,22794.20
"Jansen, Tamara",Cloverdale—Langley City,Conservative,66286.85,8278.10,399.13,27536.38
"Jeneroux, Matt",Edmonton Riverbend,Conservative,66181.90,16802.31,1118.56,39654.64
"Johns, Gord",Courtenay—Alberni,New Democratic Party,69699.63,4937.37,0.00,38205.08
"Joly, Hon. Mélanie",Ahuntsic-Cartierville,Liberal,71776.32,5795.83,100.75,22875.37
"Jones, Yvonne",Labrador,Liberal,72965.24,13372.34,952.47,23334.79
"Jordan, Hon. Bernadette",South Shore—St. Margarets,Liberal,64720.60,6361.68,0.00,11446.40
"Jowhari, Majid",Richmond Hill,Liberal,65658.05,5220.00,56.35,26750.15
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,74249.52,7999.40,36.23,20968.82
"Kelloway, Mike",Cape Breton—Canso,Liberal,78695.59,3733.22,190.68,17369.37
"Kelly, Pat",Calgary Rocky Ridge,Conservative,71595.43,11178.38,42.32,15141.03
"Kent, Hon. Peter",Thornhill,Conservative,90820.92,3990.43,0.00,27075.15
"Khalid, Iqra",Mississauga—Erin Mills,Liberal,74151.14,7317.50,0.00,53621.47
"Khera, Kamal",Brampton West,Liberal,48959.94,6574.37,0.00,16062.49
"Kitchen, Robert",Souris—Moose Mountain,Conservative,58923.55,16503.16,0.00,29912.41
"Kmiec, Tom",Calgary Shepard,Conservative,57946.22,14623.57,1135.57,18913.96
"Koutrakis, Annie",Vimy,Liberal,70796.47,8172.08,0.00,45827.75
"Kram, Michael",Regina—Wascana,Conservative,36831.97,12483.53,0.00,35023.52
"Kurek, Damien",Battle River—Crowfoot,Conservative,69011.85,27248.38,885.33,27535.01
"Kusie, Stephanie",Calgary Midnapore,Conservative,84107.41,12478.45,1647.87,18562.63
"Kusmierczyk, Irek",Windsor—Tecumseh,Liberal,68841.63,7801.30,276.05,11032.54
"Kwan, Jenny",Vancouver East,New Democratic Party,74822.48,12689.63,57.72,42560.20
"Lake, Hon. Mike",Edmonton—Wetaskiwin,Conservative,110553.17,5458.22,0.00,15226.71
"Lalonde, Marie-France",Orléans,Liberal,68336.23,0.00,334.21,17747.09
"Lambropoulos, Emmanuella",Saint-Laurent,Liberal,70809.18,7079.88,460.53,17573.29
"Lametti, Hon. David",LaSalle—Émard—Verdun,Liberal,74841.60,9633.69,0.00,17089.88
"Lamoureux, Kevin",Winnipeg North,Liberal,68010.87,11377.93,31.09,29034.25
"Larouche, Andréanne",Shefford,Bloc Québécois,60233.01,2062.28,0.00,41247.71
"Lattanzio, Patricia",Saint-Léonard—Saint-Michel,Liberal,31296.11,1078.14,0.00,27185.31
"Lauzon, Stéphane",Argenteuil—La Petite-Nation,Liberal,70182.19,0.00,0.00,14242.74
"Lawrence, Philip",Northumberland—Peterborough South,Conservative,83687.12,9804.37,0.00,25684.17
"LeBlanc, Hon. Dominic",Beauséjour,Liberal,86618.63,3466.61,2099.37,13385.78
"Lebouthillier, Hon. Diane",Gaspésie—Les Îles-de-la-Madeleine,Liberal,63608.73,21140.60,0.00,21742.11
"Lefebvre, Paul",Sudbury,Liberal,73827.14,4791.11,0.00,37947.50
"Lehoux, Richard",Beauce,Conservative,62224.03,7915.65,1272.55,20716.09
"Lemire, Sébastien",Abitibi—Témiscamingue,Bloc Québécois,63515.55,7864.02,1193.44,13175.23
"Levitt, Michael",York Centre,Liberal,65196.12,978.11,302.30,27347.20
"Lewis, Chris",Essex,Conservative,82553.52,9435.26,98.97,33656.41
"Liepert, Ron",Calgary Signal Hill,Conservative,67099.04,9986.71,96.04,47325.13
"Lightbound, Joël",Louis-Hébert,Liberal,82417.51,5026.57,0.00,16156.64
"Lloyd, Dane",Sturgeon River—Parkland,Conservative,88570.49,15491.92,0.00,29004.29
"Lobb, Ben",Huron—Bruce,Conservative,71105.44,12097.39,0.00,21227.36
"Long, Wayne",Saint John—Rothesay,Liberal,51939.63,0.00,516.57,22040.00
"Longfield, Lloyd",Guelph,Liberal,74383.12,0.00,0.00,28638.03
"Louis, Tim",Kitchener—Conestoga,Liberal,56302.60,4764.28,594.00,35781.72
"Lukiwski, Tom",Moose Jaw—Lake Centre—Lanigan,Conservative,66418.36,16893.38,0.00,25485.95
"MacAulay, Hon. Lawrence",Cardigan,Liberal,53040.77,9492.43,0.00,33622.73
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,72692.05,19573.69,0.00,15326.73
"MacKenzie, Dave",Oxford,Conservative,79304.85,626.42,0.00,23456.41
"MacKinnon, Steven",Gatineau,Liberal,48968.92,236.47,536.07,20503.86
"Maguire, Larry",Brandon—Souris,Conservative,81781.91,9073.66,244.35,13673.85
"Maloney, James",Etobicoke—Lakeshore,Liberal,63438.45,0.00,0.00,29366.94
"Manly, Paul",Nanaimo—Ladysmith,Green Party,71051.41,9185.14,75.44,23287.49
"Marcil, Simon",Mirabel,Bloc Québécois,62239.24,5919.10,0.00,32947.66
"Martel, Richard",Chicoutimi—Le Fjord,Conservative,65154.30,9248.78,1020.31,24606.06
"Martinez Ferrada, Soraya",Hochelaga,Liberal,70962.91,6589.16,550.66,34337.29
"Masse, Brian",Windsor West,New Democratic Party,85798.02,11462.52,301.19,13189.59
"Mathyssen, Lindsay",London—Fanshawe,New Democratic Party,83630.06,7413.68,86.90,21111.45
"May, Bryan",Cambridge,Liberal,63896.69,0.00,64.70,20273.74
"May, Elizabeth",Saanich—Gulf Islands,Green Party,93288.50,5031.92,0.00,11739.41
"Mazier, Dan",Dauphin—Swan River—Neepawa,Conservative,75557.48,24111.98,231.06,21190.77
"McCauley, Kelly",Edmonton West,Conservative,62633.20,20837.25,170.90,22540.13
"McColeman, Phil",Brantford—Brant,Conservative,80496.85,5606.89,31.97,15473.04
"McCrimmon, Karen",Kanata—Carleton,Liberal,72140.93,0.00,0.00,17221.91
"McDonald, Ken",Avalon,Liberal,64466.31,6727.40,63.30,11771.57
"McGuinty, Hon. David",Ottawa South,Liberal,68915.21,0.00,0.00,16143.47
"McKay, Hon. John",Scarborough—Guildwood,Liberal,67123.04,5504.39,0.00,18684.98
"McKenna, Hon. Catherine",Ottawa Centre,Liberal,78917.20,26.16,32.98,25727.05
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,75591.89,5759.96,701.63,25458.33
"McLean, Greg",Calgary Centre,Conservative,73979.28,26583.98,539.96,15065.05
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,79524.76,14924.40,0.00,29394.26
"McLeod, Michael",Northwest Territories,Liberal,69227.34,5871.85,0.00,13281.44
"McPherson, Heather",Edmonton Strathcona,New Democratic Party,84550.63,21128.52,2769.32,31337.16
"Melillo, Eric",Kenora,Conservative,84688.57,17454.40,92.73,31748.31
"Mendès, Alexandra",Brossard—Saint-Lambert,Liberal,64885.54,3876.00,0.00,17670.61
"Mendicino, Hon. Marco",Eglinton—Lawrence,Liberal,63325.35,4014.95,0.00,16939.50
"Michaud, Kristina",Avignon—La Mitis—Matane—Matapédia,Bloc Québécois,69763.89,24348.78,120.45,26073.26
"Miller, Hon. Marc",Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,71010.82,4441.46,0.00,14035.89
"Monsef, Hon. Maryam",Peterborough—Kawartha,Liberal,80251.50,5403.27,0.00,27672.00
"Moore, Christine",Abitibi—Témiscamingue,New Democratic Party,0.00,0.00,0.00,1991.87
"Moore, Hon. Rob",Fundy Royal,Conservative,82670.22,1298.58,69.13,24761.23
"Morantz, Marty",Charleswood—St. James—Assiniboia—Headingley,Conservative,78287.35,7780.10,0.00,21072.96
"Morneau, Hon. Bill",Toronto Centre,Liberal,56522.66,7569.84,0.00,12489.51
"Morrison, Rob",Kootenay—Columbia,Conservative,91052.26,16232.61,0.00,14641.12
"Morrissey, Robert",Egmont,Liberal,61513.44,0.00,0.00,13996.32
"Motz, Glen",Medicine Hat—Cardston—Warner,Conservative,71214.32,21833.23,345.12,14054.91
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,75616.51,9480.40,116.35,22331.43
"Nassif, Eva",Vimy,Liberal,0.00,0.00,0.00,95.00
"Nater, John",Perth—Wellington,Conservative,73974.00,11553.05,0.00,10750.42
"Ng, Hon. Mary",Markham—Thornhill,Liberal,74982.62,7838.77,0.00,21370.49
"Normandin, Christine",Saint-Jean,Bloc Québécois,78350.23,8321.37,1728.61,28834.51
"O'Connell, Jennifer",Pickering—Uxbridge,Liberal,81782.68,6232.16,470.33,62890.78
"Oliphant, Robert",Don Valley West,Liberal,74821.50,0.00,0.00,28930.13
"O'Regan, Hon. Seamus",St. John's South—Mount Pearl,Liberal,66409.84,8285.47,208.53,27404.91
"O'Toole, Hon. Erin",Durham,Conservative,92415.10,12144.37,24.97,22598.65
"Ouellette, Robert-Falcon",Winnipeg Centre,Liberal,0.00,9204.33,0.00,0.00
"Patzer, Jeremy",Cypress Hills—Grasslands,Conservative,64400.80,18450.48,19.99,25189.85
"Paul-Hus, Pierre",Charlesbourg—Haute-Saint-Charles,Conservative,81913.13,9586.00,663.77,22018.26
"Pauzé, Monique",Repentigny,Bloc Québécois,72983.82,7457.35,196.00,17496.55
"Perron, Yves",Berthier—Maskinongé,Bloc Québécois,59958.39,12476.45,42.59,21774.03
"Petitpas Taylor, Hon. Ginette",Moncton—Riverview—Dieppe,Liberal,59031.03,5116.01,45.00,26944.63
"Plamondon, Louis",Bécancour—Nicolet—Saurel,Bloc Québécois,59232.83,2279.96,0.00,17953.65
"Poilievre, Hon. Pierre",Carleton,Conservative,72790.56,0.00,0.00,15805.29
"Powlowski, Marcus",Thunder Bay—Rainy River,Liberal,82652.61,1375.19,142.55,20597.92
"Qaqqaq, Mumilaaq",Nunavut,New Democratic Party,72664.43,37057.81,0.00,22014.67
"Qualtrough, Hon. Carla",Delta,Liberal,59347.05,30549.43,0.00,92005.92
"Ramsey, Tracey",Essex,New Democratic Party,0.00,837.52,0.00,0.00
"Ratansi, Yasmin",Don Valley East,Liberal,80267.05,13.04,6.97,23644.09
"Rayes, Alain",Richmond—Arthabaska,Conservative,74204.65,11131.98,568.48,24113.29
"Redekopp, Brad",Saskatoon West,Conservative,81261.48,7643.46,285.05,23471.32
"Regan, Hon. Geoff",Halifax West,Liberal,85541.85,5700.00,0.00,10716.19
"Reid, Scott",Lanark—Frontenac—Kingston,Conservative,65145.57,0.00,0.00,36740.17
"Rempel Garner, Hon. Michelle",Calgary Nose Hill,Conservative,66791.58,5250.00,0.00,24079.32
"Richards, Blake",Banff—Airdrie,Conservative,76928.37,1071.54,50.83,28171.28
"Robillard, Yves",Marc-Aurèle-Fortin,Liberal,72414.83,8381.91,153.88,18197.56
"Rodriguez, Hon. Pablo",Honoré-Mercier,Liberal,75693.12,5877.78,126.09,14322.89
"Rogers, Churence",Bonavista—Burin—Trinity,Liberal,75210.80,8076.12,0.00,13433.79
"Romanado, Sherry",Longueuil—Charles-LeMoyne,Liberal,66466.82,7486.42,474.98,19450.15
"Rood, Lianne",Lambton—Kent—Middlesex,Conservative,59685.91,18164.97,143.02,17227.54
"Rota, Hon. Anthony",Nipissing—Timiskaming,Liberal,70835.43,7909.37,128.32,26839.55
"Ruff, Alex",Bruce—Grey—Owen Sound,Conservative,61326.58,993.63,0.00,26397.81
"Ruimy, Dan",Pitt Meadows—Maple Ridge,Liberal,0.00,0.00,0.00,10448.00
"Sahota, Jag",Calgary Skyview,Conservative,69609.18,10407.54,27.27,26281.02
"Sahota, Ruby",Brampton North,Liberal,70933.03,0.00,0.00,15683.89
"Saini, Raj",Kitchener Centre,Liberal,52671.72,0.00,0.00,10430.60
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,46285.61,16158.90,4580.55,23223.28
"Samson, Darrell",Sackville—Preston—Chezzetcook,Liberal,70472.13,0.00,0.00,20404.55
"Sangha, Ramesh",Brampton Centre,Liberal,38564.42,6150.00,0.00,30730.54
"Sarai, Randeep",Surrey Centre,Liberal,55222.86,9116.58,0.00,29390.37
"Saroya, Bob",Markham—Unionville,Conservative,65511.78,4113.26,0.00,23849.29
"Savard-Tremblay, Simon-Pierre",Saint-Hyacinthe—Bagot,Bloc Québécois,72178.82,11601.10,52.80,25808.74
"Scarpaleggia, Francis",Lac-Saint-Louis,Liberal,74031.59,3240.23,0.00,23219.52
"Scheer, Hon. Andrew",Regina—Qu'Appelle,Conservative,69367.90,16297.56,1845.24,29538.24
"Schiefke, Peter",Vaudreuil—Soulanges,Liberal,80023.58,2967.90,0.00,17663.06
"Schmale, Jamie",Haliburton—Kawartha Lakes—Brock,Conservative,69131.44,11304.63,177.25,18510.12
"Schulte, Hon. Deb",King—Vaughan,Liberal,67740.25,5923.87,0.00,15878.86
"Seeback, Kyle",Dufferin—Caledon,Conservative,59663.48,9591.39,447.11,53787.66
"Serré, Marc",Nickel Belt,Liberal,83721.48,8241.18,194.21,19659.07
"Sgro, Hon. Judy A.",Humber River—Black Creek,Liberal,59030.93,5209.77,368.14,20212.17
"Shanahan, Brenda",Châteauguay—Lacolle,Liberal,59091.56,7955.94,1234.96,29163.08
"Sheehan, Terry",Sault Ste. Marie,Liberal,66109.83,5274.81,0.00,19349.10
"Shields, Martin",Bow River,Conservative,70922.24,18363.39,19.92,23794.61
"Shin, Nelly",Port Moody—Coquitlam,Conservative,30634.94,15461.20,169.58,18931.05
"Shipley, Doug",Barrie—Springwater—Oro-Medonte,Conservative,77775.20,6760.13,554.21,11762.79
"Sidhu, Maninder",Brampton East,Liberal,72490.43,0.00,0.00,24831.21
"Sidhu, Sonia",Brampton South,Liberal,61908.31,5200.00,0.00,32235.07
"Sikand, Gagan",Mississauga—Streetsville,Liberal,76425.20,1379.20,557.67,14192.08
