Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Bergeron, Stéphane",Montarville,Bloc Québécois,76573.19,11367.13,624.94,31478.31
"Berthold, Luc",Mégantic—L'Érable,Conservative,104311.26,8418.73,76.98,28802.38
"Bérubé, Sylvie",Abitibi—Baie-James—Nunavik—Eeyou,Bloc Québécois,101103.80,13913.17,1626.86,54101.41
"Bessette, Lyne",Brome—Missisquoi,Liberal,83806.66,104.79,282.08,31502.49
"Bezan, James",Selkirk—Interlake—Eastman,Conservative,111908.22,9479.07,88.93,23278.91
"Bibeau, Hon. Marie-Claude",Compton—Stanstead,Liberal,97013.74,5047.50,0.00,32093.14
"Bittle, Chris",St. Catharines,Liberal,115317.44,3747.74,0.00,12606.52
"Blaikie, Daniel",Elmwood—Transcona,New Democratic Party,80190.17,302.61,29.05,38456.23
"Blair, Hon. Bill",Scarborough Southwest,Liberal,95069.52,5484.71,0.00,11677.01
"Blanchet, Yves-François",Beloeil—Chambly,Bloc Québécois,103017.28,7851.28,499.70,47036.67
"Blanchette-Joncas, Maxime",Rimouski-Neigette—Témiscouata—Les Basques,Bloc Québécois,81213.86,22718.51,108.88,75352.55
"Blaney, Rachel",North Island—Powell River,New Democratic Party,99335.51,4359.41,4.79,29773.68
"Blaney, Hon. Steven",Bellechasse—Les Etchemins—Lévis,Conservative,80594.24,8252.57,0.00,28687.55
"Block, Kelly",Carlton Trail—Eagle Creek,Conservative,88070.40,7806.59,0.00,33448.38
"Blois, Kody",Kings—Hants,Liberal,61291.33,4717.49,355.73,20980.24
"Boudrias, Michel",Terrebonne,Bloc Québécois,97740.53,0.00,0.00,25900.02
"Boulerice, Alexandre",Rosemont—La Petite-Patrie,New Democratic Party,80791.68,82.50,300.00,68142.97
"Bragdon, Richard",Tobique—Mactaquac,Conservative,105889.44,5010.99,22.19,25409.91
"Brassard, John",Barrie—Innisfil,Conservative,94770.44,3677.30,111.19,47984.45
"Bratina, Bob",Hamilton East—Stoney Creek,Liberal,86387.56,5037.28,0.00,27222.32
"Brière, Élisabeth",Sherbrooke,Liberal,94780.13,3563.70,118.29,18413.89
"Brunelle-Duceppe, Alexis",Lac-Saint-Jean,Bloc Québécois,130087.36,8102.53,0.00,18612.44
"Calkins, Blaine",Red Deer—Lacombe,Conservative,96411.22,7301.14,361.31,27297.48
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,92692.00,3570.00,0.00,17416.12
"Carr, Hon. Jim",Winnipeg South Centre,Liberal,80600.24,5652.24,95.22,23982.90
"Carrie, Colin",Oshawa,Conservative,104432.23,11015.14,0.00,30610.03
"Casey, Sean",Charlottetown,Liberal,96053.68,7709.08,215.39,41112.58
"Chabot, Louise",Thérèse-De Blainville,Bloc Québécois,87743.68,368.32,20.00,41414.74
"Chagger, Hon. Bardish",Waterloo,Liberal,71877.60,6050.00,0.00,27088.13
"Champagne, Hon. François-Philippe",Saint-Maurice—Champlain,Liberal,106721.28,5203.71,0.00,24889.00
"Champoux, Martin",Drummond,Bloc Québécois,107343.84,9977.84,343.20,42515.06
"Charbonneau, Louise",Trois-Rivières,Bloc Québécois,82670.31,6220.00,693.86,24586.82
"Chen, Shaun",Scarborough North,Liberal,107524.57,7408.60,404.62,57387.06
"Chiu, Kenny",Steveston—Richmond East,Conservative,67470.44,10915.70,784.66,43979.93
"Chong, Hon. Michael",Wellington—Halton Hills,Conservative,112251.51,6263.80,0.00,24711.13
"Collins, Laurel",Victoria,New Democratic Party,96713.47,7215.94,20.08,34295.93
"Cooper, Michael",St. Albert—Edmonton,Conservative,105244.40,13102.68,0.00,27480.27
"Cormier, Serge",Acadie—Bathurst,Liberal,111383.04,6532.75,464.09,16039.23
"Cumming, James",Edmonton Centre,Conservative,50888.25,10741.81,0.00,21764.02
"Dabrusin, Julie",Toronto—Danforth,Liberal,102588.04,30.27,122.00,22542.45
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,99596.24,12714.11,112.81,33975.06
"Damoff, Pam",Oakville North—Burlington,Liberal,116976.09,4495.90,125.00,14756.50
"Dancho, Raquel",Kildonan—St. Paul,Conservative,98982.15,10024.31,354.17,24421.95
"Davidson, Scot",York—Simcoe,Conservative,92690.14,9985.42,145.74,45394.98
"Davies, Don",Vancouver Kingsway,New Democratic Party,78579.68,8923.27,195.79,43044.50
"DeBellefeuille, Claude",Salaberry—Suroît,Bloc Québécois,99936.27,5766.16,1064.25,48710.16
"Deltell, Gérard",Louis-Saint-Laurent,Conservative,108020.32,9099.59,0.00,23222.11
"d'Entremont, Chris",West Nova,Conservative,82182.23,4415.42,0.00,33156.32
"Desbiens, Caroline",Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois,96718.06,7012.40,365.00,44777.83
"Desilets, Luc",Rivière-des-Mille-Îles,Bloc Québécois,93534.03,8409.62,348.00,33793.41
"Dhaliwal, Sukh",Surrey—Newton,Liberal,68710.49,8078.56,214.47,56041.39
"Dhillon, Anju",Dorval—Lachine—LaSalle,Liberal,88190.72,7150.29,234.00,35283.85
"Diotte, Kerry",Edmonton Griesbach,Conservative,67452.16,13211.54,67.77,11371.17
"Doherty, Todd",Cariboo—Prince George,Conservative,115531.55,20999.20,153.76,11671.46
"Dong, Han",Don Valley North,Liberal,87945.87,3550.00,0.00,28830.03
"Dowdall, Terry",Simcoe—Grey,Conservative,101475.27,8280.82,0.00,65723.91
"Dreeshen, Earl",Red Deer—Mountain View,Conservative,85160.46,16203.84,149.96,19072.29
"Drouin, Francis",Glengarry—Prescott—Russell,Liberal,85857.48,1833.89,7.98,23329.55
"Dubourg, Emmanuel",Bourassa,Liberal,82739.17,7767.13,5582.00,37469.40
"Duclos, Hon. Jean-Yves",Québec,Liberal,85059.07,8236.13,902.42,36442.79
"Duguid, Terry",Winnipeg South,Liberal,102573.11,7753.90,116.68,49347.67
"Duncan, Eric",Stormont—Dundas—South Glengarry,Conservative,96889.27,13795.16,468.90,21760.91
"Duncan, Hon. Kirsty",Etobicoke North,Liberal,128586.29,0.00,0.00,13111.11
"Duvall, Scott",Hamilton Mountain,New Democratic Party,80222.51,12417.55,0.00,42735.31
"Dzerowicz, Julie",Davenport,Liberal,85616.15,0.00,230.79,58181.74
"Easter, Hon. Wayne",Malpeque,Liberal,113114.60,7206.50,327.72,13238.38
"Ehsassi, Ali",Willowdale,Liberal,85012.72,1060.85,174.41,18857.79
"El-Khoury, Fayçal",Laval—Les Îles,Liberal,101103.89,4763.48,0.00,18007.32
"Ellis, Neil",Bay of Quinte,Liberal,110485.52,5601.10,207.28,21784.69
"Epp, Dave",Chatham-Kent—Leamington,Conservative,73750.80,14771.57,391.96,27899.43
"Erskine-Smith, Nathaniel",Beaches—East York,Liberal,97010.85,4678.12,39.22,35326.06
"Falk, Rosemarie",Battlefords—Lloydminster,Conservative,101547.62,9257.18,17.98,70283.90
"Falk, Ted",Provencher,Conservative,78514.38,6582.18,695.04,45779.47
"Fast, Hon. Ed",Abbotsford,Conservative,103485.36,7316.90,466.98,15146.14
"Fergus, Greg",Hull—Aylmer,Liberal,90793.98,358.78,646.73,30147.05
"Fillmore, Andy",Halifax,Liberal,98666.84,5105.88,268.95,28371.31
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,92297.78,15871.49,265.48,21364.88
"Finley, Hon. Diane",Haldimand—Norfolk,Conservative,51984.34,8243.18,33.48,17196.46
"Finnigan, Pat",Miramichi—Grand Lake,Liberal,73924.00,4515.98,55.00,31315.23
"Fisher, Darren",Dartmouth—Cole Harbour,Liberal,70629.48,3500.00,0.00,18482.00
"Fonseca, Peter",Mississauga East—Cooksville,Liberal,71394.35,1802.76,44.78,83905.76
"Fortier, Hon. Mona",Ottawa—Vanier,Liberal,106901.61,162.25,211.02,20075.85
"Fortin, Rhéal",Rivière-du-Nord,Bloc Québécois,71924.37,4230.22,84.39,22075.64
"Fragiskatos, Peter",London North Centre,Liberal,85754.46,48.58,60.00,29414.17
"Fraser, Sean",Central Nova,Liberal,116018.56,2573.60,153.92,16484.54
"Freeland, Hon. Chrystia",University—Rosedale,Liberal,109459.19,7907.68,0.00,13590.75
"Fry, Hon. Hedy",Vancouver Centre,Liberal,76857.68,6739.83,2043.06,61072.60
"Gallant, Cheryl",Renfrew—Nipissing—Pembroke,Conservative,117722.04,6713.96,161.08,31379.94
"Garneau, Hon. Marc",Notre-Dame-de-Grâce—Westmount,Liberal,76920.33,27.91,0.00,17745.21
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,95261.41,4006.53,0.00,22960.29
"Gaudreau, Marie-Hélène",Laurentides—Labelle,Bloc Québécois,94072.49,9031.58,-118.96,57410.00
"Gazan, Leah",Winnipeg Centre,New Democratic Party,93110.02,3200.00,125.00,34967.14
"Généreux, Bernard",Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,84240.76,9944.09,175.96,51947.27
"Genuis, Garnett",Sherwood Park—Fort Saskatchewan,Conservative,119156.67,10056.51,539.28,22945.50
"Gerretsen, Mark",Kingston and the Islands,Liberal,99641.59,7236.12,126.00,23492.88
"Gill, Marilène",Manicouagan,Bloc Québécois,79061.50,22517.10,-63.03,44233.85
"Gladu, Marilyn",Sarnia—Lambton,Conservative,112089.98,5120.54,0.00,22090.67
"Godin, Joël",Portneuf—Jacques-Cartier,Conservative,86740.82,4397.02,341.34,55596.33
"Gould, Hon. Karina",Burlington,Liberal,103170.98,49.50,1268.85,28656.63
"Gourde, Jacques",Lévis—Lotbinière,Conservative,58041.80,5480.01,826.76,62793.93
"Gray, Tracy",Kelowna—Lake Country,Conservative,93633.32,12336.28,106.55,35746.33
"Green, Matthew",Hamilton Centre,New Democratic Party,90800.57,9054.09,186.67,33412.56
"Guilbeault, Hon. Steven",Laurier—Sainte-Marie,Liberal,100402.54,5540.80,0.00,30396.37
"Hajdu, Hon. Patty",Thunder Bay—Superior North,Liberal,110457.20,4000.00,0.00,30597.99
"Hallan, Jasraj Singh",Calgary Forest Lawn,Conservative,74221.45,40467.25,51.94,15247.21
"Harder, Rachael",Lethbridge,Conservative,92217.98,16015.82,1369.75,30398.15
"Hardie, Ken",Fleetwood—Port Kells,Liberal,93493.92,16979.65,0.00,24562.40
"Harris, Jack",St. John's East,New Democratic Party,105739.92,0.00,153.45,18012.10
"Hoback, Randy",Prince Albert,Conservative,102814.35,12190.03,0.00,21993.12
"Hogg, Gordie",South Surrey—White Rock,Liberal,0.00,0.00,0.00,455.40
"Holland, Hon. Mark",Ajax,Liberal,108836.32,6869.12,0.00,20327.99
"Housefather, Anthony",Mount Royal,Liberal,99133.68,0.00,19.99,17538.39
"Hughes, Carol",Algoma—Manitoulin—Kapuskasing,New Democratic Party,119220.65,11129.59,0.00,37156.75
"Hussen, Hon. Ahmed",York South—Weston,Liberal,106085.97,8647.20,0.00,35990.80
"Hutchings, Gudie",Long Range Mountains,Liberal,108437.93,12280.73,43.34,34089.63
"Iacono, Angelo",Alfred-Pellan,Liberal,84627.73,436.13,100.24,42923.82
"Ien, Marci",Toronto Centre,Liberal,98871.56,0.00,25.38,29919.82
"Jaczek, Helena",Markham—Stouffville,Liberal,81452.24,9250.00,59.98,32091.28
"Jansen, Tamara",Cloverdale—Langley City,Conservative,100210.06,18740.44,0.00,30692.55
"Jeneroux, Matt",Edmonton Riverbend,Conservative,77568.37,13057.72,461.63,27739.17
"Johns, Gord",Courtenay—Alberni,New Democratic Party,92839.87,7423.89,48.96,39692.97
"Joly, Hon. Mélanie",Ahuntsic-Cartierville,Liberal,93585.96,4388.21,50.55,33135.29
"Jones, Yvonne",Labrador,Liberal,137572.18,24331.04,1255.95,30040.67
"Jordan, Hon. Bernadette",South Shore—St. Margarets,Liberal,111787.20,4390.99,0.00,18012.62
"Jowhari, Majid",Richmond Hill,Liberal,112084.32,3718.62,0.00,21600.54
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,97006.19,9282.84,629.76,37387.67
"Kelloway, Mike",Cape Breton—Canso,Liberal,110732.20,1508.38,319.03,28094.69
"Kelly, Pat",Calgary Rocky Ridge,Conservative,85984.74,7027.10,121.87,5616.49
"Kent, Hon. Peter",Thornhill,Conservative,96596.24,2625.64,0.00,17355.84
"Khalid, Iqra",Mississauga—Erin Mills,Liberal,86964.55,3600.00,0.00,17875.32
"Khera, Kamal",Brampton West,Liberal,89555.07,4133.02,0.00,32216.11
"Kitchen, Robert",Souris—Moose Mountain,Conservative,87131.05,11282.51,0.00,33703.57
"Kmiec, Tom",Calgary Shepard,Conservative,61942.32,13177.89,586.55,21170.19
"Koutrakis, Annie",Vimy,Liberal,86937.55,4782.10,0.00,30722.39
"Kram, Michael",Regina—Wascana,Conservative,82566.40,5672.43,0.00,47396.94
"Kurek, Damien",Battle River—Crowfoot,Conservative,107477.32,18932.58,419.41,22781.20
"Kusie, Stephanie",Calgary Midnapore,Conservative,116973.12,9359.50,196.22,15011.39
"Kusmierczyk, Irek",Windsor—Tecumseh,Liberal,117344.70,7525.22,40.00,36631.74
"Kwan, Jenny",Vancouver East,New Democratic Party,101783.86,7328.26,0.00,48599.05
"Lake, Hon. Mike",Edmonton—Wetaskiwin,Conservative,98343.05,10917.43,207.91,23003.57
"Lalonde, Marie-France",Orléans,Liberal,100873.13,1296.03,731.13,21293.50
"Lambropoulos, Emmanuella",Saint-Laurent,Liberal,78781.60,5157.56,5767.50,29535.14
"Lametti, Hon. David",LaSalle—Émard—Verdun,Liberal,102619.64,8145.53,0.00,22687.31
"Lamoureux, Kevin",Winnipeg North,Liberal,85445.28,10289.21,36.02,28029.74
"Lapointe, Linda",Rivière-des-Mille-Îles,Liberal,0.00,351.48,0.00,0.00
"Larouche, Andréanne",Shefford,Bloc Québécois,94364.75,10461.47,316.83,60357.29
"Lattanzio, Patricia",Saint-Léonard—Saint-Michel,Liberal,36149.93,10.45,0.00,33710.81
"Lauzon, Stéphane",Argenteuil—La Petite-Nation,Liberal,116367.57,8477.12,0.00,20178.54
"Laverdière, Hélène",Laurier—Sainte-Marie,New Democratic Party,0.00,0.00,0.00,1608.72
"Lawrence, Philip",Northumberland—Peterborough South,Conservative,104323.88,9399.81,256.32,27093.64
"LeBlanc, Hon. Dominic",Beauséjour,Liberal,105570.17,495.94,1025.78,25053.26
"Lebouthillier, Hon. Diane",Gaspésie—Les Îles-de-la-Madeleine,Liberal,86671.26,5805.44,45.00,21560.47
"Lefebvre, Paul",Sudbury,Liberal,72370.48,6217.42,0.00,27941.25
"Lehoux, Richard",Beauce,Conservative,73597.04,6119.49,689.34,20664.26
"Lemire, Sébastien",Abitibi—Témiscamingue,Bloc Québécois,124436.32,13652.79,321.74,81921.01
"Levitt, Michael",York Centre,Liberal,0.00,0.00,0.00,-1044.96
"Lewis, Chris",Essex,Conservative,93310.84,10481.62,60.93,47819.98
"Liepert, Ron",Calgary Signal Hill,Conservative,71013.76,11254.96,0.00,46254.71
"Lightbound, Joël",Louis-Hébert,Liberal,114014.41,5288.86,21.28,16413.22
"Lloyd, Dane",Sturgeon River—Parkland,Conservative,97105.17,17428.21,39.86,18479.58
"Lobb, Ben",Huron—Bruce,Conservative,81263.36,10494.15,0.00,33471.48
"Long, Wayne",Saint John—Rothesay,Liberal,62797.56,0.00,695.60,46545.91
"Longfield, Lloyd",Guelph,Liberal,113251.86,0.00,250.00,24921.01
"Louis, Tim",Kitchener—Conestoga,Liberal,105195.57,5722.88,0.00,47911.40
"Lukiwski, Tom",Moose Jaw—Lake Centre—Lanigan,Conservative,89138.72,12268.04,0.00,34170.19
"MacAulay, Hon. Lawrence",Cardigan,Liberal,75559.88,16505.80,5132.09,40585.60
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,117930.16,4947.00,84.86,25696.00
"MacKenzie, Dave",Oxford,Conservative,54257.60,0.00,0.00,12689.25
"MacKinnon, Steven",Gatineau,Liberal,94395.84,55.64,19.98,39796.78
"Maguire, Larry",Brandon—Souris,Conservative,110728.40,13674.41,170.98,17583.79
"Maloney, James",Etobicoke—Lakeshore,Liberal,84318.79,4155.40,0.00,23686.70
"Manly, Paul",Nanaimo—Ladysmith,Green Party,105343.18,4950.00,17.46,24817.88
"Marcil, Simon",Mirabel,Bloc Québécois,96715.91,6561.16,0.00,20143.98
"Martel, Richard",Chicoutimi—Le Fjord,Conservative,98952.13,7826.95,408.23,26669.29
"Martinez Ferrada, Soraya",Hochelaga,Liberal,90329.62,3739.28,257.35,31843.02
"Masse, Brian",Windsor West,New Democratic Party,119374.91,7679.68,238.32,16885.05
"Mathyssen, Lindsay",London—Fanshawe,New Democratic Party,100944.28,9812.12,838.13,26603.24
"May, Bryan",Cambridge,Liberal,132131.93,0.00,0.00,32402.24
"May, Elizabeth",Saanich—Gulf Islands,Green Party,96296.82,13555.71,0.00,43687.74
"Mazier, Dan",Dauphin—Swan River—Neepawa,Conservative,88398.95,10379.05,4.47,29930.28
"McCauley, Kelly",Edmonton West,Conservative,87820.17,17223.83,1200.95,23668.46
"McColeman, Phil",Brantford—Brant,Conservative,114996.40,4183.95,521.58,9411.30
"McCrimmon, Karen",Kanata—Carleton,Liberal,105176.71,0.00,4.45,30815.61
"McDonald, Ken",Avalon,Liberal,102019.08,6991.55,0.00,14628.45
"McGuinty, Hon. David",Ottawa South,Liberal,93974.93,0.00,0.00,25639.36
"McKay, Hon. John",Scarborough—Guildwood,Liberal,90569.23,6050.00,0.00,19884.43
"McKenna, Hon. Catherine",Ottawa Centre,Liberal,82941.71,49.67,165.80,30063.04
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,124071.34,454.30,360.87,25234.59
"McLean, Greg",Calgary Centre,Conservative,99335.96,31280.66,745.84,16186.11
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,92941.05,4313.51,0.00,20500.92
"McLeod, Michael",Northwest Territories,Liberal,96322.20,6138.78,4.99,19011.31
"McPherson, Heather",Edmonton Strathcona,New Democratic Party,91180.24,3893.58,50.00,22453.11
"Melillo, Eric",Kenora,Conservative,122615.75,11228.42,0.00,42786.93
"Mendès, Alexandra",Brossard—Saint-Lambert,Liberal,71549.79,14248.35,0.00,16750.43
"Mendicino, Hon. Marco",Eglinton—Lawrence,Liberal,13766.19,9251.39,56.47,24088.33
"Michaud, Kristina",Avignon—La Mitis—Matane—Matapédia,Bloc Québécois,92730.16,11356.71,99.18,44776.82
"Miller, Hon. Marc",Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,111835.36,2156.91,0.00,20519.56
"Monsef, Hon. Maryam",Peterborough—Kawartha,Liberal,113616.46,3390.00,0.00,18334.20
"Moore, Christine",Abitibi—Témiscamingue,New Democratic Party,0.00,0.00,0.00,967.44
"Moore, Hon. Rob",Fundy Royal,Conservative,103187.89,616.39,10.34,29353.81
"Morantz, Marty",Charleswood—St. James—Assiniboia—Headingley,Conservative,88030.16,642.45,0.00,18325.53
"Morneau, Hon. Bill",Toronto Centre,Liberal,0.00,10089.76,0.00,2545.10
"Morrison, Rob",Kootenay—Columbia,Conservative,116049.03,13346.35,0.00,11068.43
"Morrissey, Robert",Egmont,Liberal,90108.42,20793.67,0.00,39066.57
"Motz, Glen",Medicine Hat—Cardston—Warner,Conservative,84325.28,16355.41,87.24,14271.99
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,72806.23,15930.47,18.87,24923.48
"Nater, John",Perth—Wellington,Conservative,113772.15,7840.36,438.13,36742.37
"Ng, Hon. Mary",Markham—Thornhill,Liberal,89028.02,5408.84,0.00,34651.91
"Normandin, Christine",Saint-Jean,Bloc Québécois,101819.66,5801.98,792.09,30230.27
"O'Connell, Jennifer",Pickering—Uxbridge,Liberal,89632.36,6869.78,51.57,15205.96
"Oliphant, Robert",Don Valley West,Liberal,86756.38,954.20,0.00,40885.06
"O'Regan, Hon. Seamus",St. John's South—Mount Pearl,Liberal,100848.19,4427.79,731.11,32533.31
"O'Toole, Hon. Erin",Durham,Conservative,108775.38,-2875.58,0.00,24187.40
"Patzer, Jeremy",Cypress Hills—Grasslands,Conservative,73897.60,10583.57,52.40,26654.62
"Paul-Hus, Pierre",Charlesbourg—Haute-Saint-Charles,Conservative,91778.90,5922.75,210.31,30608.75
"Pauzé, Monique",Repentigny,Bloc Québécois,112684.10,7330.38,268.66,18529.37
"Perron, Yves",Berthier—Maskinongé,Bloc Québécois,98548.21,9199.53,74.85,59380.39
"Petitpas Taylor, Hon. Ginette",Moncton—Riverview—Dieppe,Liberal,95123.30,3878.53,260.20,25047.72
"Plamondon, Louis",Bécancour—Nicolet—Saurel,Bloc Québécois,92917.52,7578.27,450.00,63713.79
"Poilievre, Hon. Pierre",Carleton,Conservative,94865.95,316.67,172.01,26280.23
"Powlowski, Marcus",Thunder Bay—Rainy River,Liberal,111509.11,0.00,6.99,33790.96
"Qaqqaq, Mumilaaq",Nunavut,New Democratic Party,29250.55,11482.67,0.00,18391.77
"Qualtrough, Hon. Carla",Delta,Liberal,59512.28,5203.76,10.56,22712.32
"Ratansi, Yasmin",Don Valley East,Independent,51895.46,301.32,0.00,14391.65
"Rayes, Alain",Richmond—Arthabaska,Conservative,129948.42,11564.52,671.67,22484.02
"Redekopp, Brad",Saskatoon West,Conservative,87747.68,2536.34,231.39,40154.28
"Regan, Hon. Geoff",Halifax West,Liberal,107641.68,3800.00,42.97,11463.06
"Reid, Scott",Lanark—Frontenac—Kingston,Conservative,82485.50,0.00,0.00,76788.69
"Rempel Garner, Hon. Michelle",Calgary Nose Hill,Conservative,97802.16,12270.41,0.00,24368.00
"Richards, Blake",Banff—Airdrie,Conservative,87300.42,23032.79,0.00,12721.32
"Robillard, Yves",Marc-Aurèle-Fortin,Liberal,87268.40,7068.60,0.00,15025.14
"Rodriguez, Hon. Pablo",Honoré-Mercier,Liberal,83195.92,6793.86,0.00,19758.57
"Rogers, Churence",Bonavista—Burin—Trinity,Liberal,105415.55,16415.78,241.52,18004.00
"Romanado, Sherry",Longueuil—Charles-LeMoyne,Liberal,102961.49,6090.76,255.08,31182.77
"Rood, Lianne",Lambton—Kent—Middlesex,Conservative,93673.17,15616.53,613.35,51689.24
"Rota, Hon. Anthony",Nipissing—Timiskaming,Liberal,121010.86,4823.16,488.75,35413.01
"Ruff, Alex",Bruce—Grey—Owen Sound,Conservative,77021.25,7839.62,0.00,19288.34
"Sahota, Jag",Calgary Skyview,Conservative,77347.47,24083.52,38.05,47119.87
"Sahota, Ruby",Brampton North,Liberal,102461.57,1215.77,384.92,38113.38
"Saini, Raj",Kitchener Centre,Liberal,74118.47,4770.93,0.00,32261.77
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,76760.07,10674.53,425.84,36698.95
"Saks, Ya'ara",York Centre,Liberal,96945.80,2081.91,921.61,19616.27
"Samson, Darrell",Sackville—Preston—Chezzetcook,Liberal,74573.48,2231.10,0.00,27063.89
"Sangha, Ramesh",Brampton Centre,Independent,53074.40,7938.82,2773.18,62184.79
"Sarai, Randeep",Surrey Centre,Liberal,80379.62,4400.00,141.02,25936.86
"Saroya, Bob",Markham—Unionville,Conservative,96930.40,6097.15,86.26,48002.84
"Savard-Tremblay, Simon-Pierre",Saint-Hyacinthe—Bagot,Bloc Québécois,103636.18,8313.48,0.00,26290.27
"Scarpaleggia, Francis",Lac-Saint-Louis,Liberal,84672.18,0.00,125.00,27137.16
"Scheer, Hon. Andrew",Regina—Qu'Appelle,Conservative,88847.84,21446.33,0.00,14537.28
"Schiefke, Peter",Vaudreuil—Soulanges,Liberal,103761.81,1908.73,169.45,36708.83
"Schmale, Jamie",Haliburton—Kawartha Lakes—Brock,Conservative,108879.35,12756.18,608.20,38758.81
"Schulte, Hon. Deb",King—Vaughan,Liberal,110826.99,7590.30,0.00,19958.84
"Seeback, Kyle",Dufferin—Caledon,Conservative,79334.41,15413.31,165.98,53726.00
"Serré, Marc",Nickel Belt,Liberal,95983.72,8292.98,486.60,24558.10
"Sgro, Hon. Judy A.",Humber River—Black Creek,Liberal,90896.91,6050.00,54.57,26736.63
"Shanahan, Brenda",Châteauguay—Lacolle,Liberal,84368.20,4288.00,0.00,38899.31
"Sheehan, Terry",Sault Ste. Marie,Liberal,90156.20,8492.50,0.00,28706.35
"Shields, Martin",Bow River,Conservative,93132.41,12736.32,97.87,23723.08
"Shin, Nelly",Port Moody—Coquitlam,Conservative,39210.28,16693.54,0.00,27808.55
"Shipley, Doug",Barrie—Springwater—Oro-Medonte,Conservative,91387.55,5816.00,0.00,51325.14
"Sidhu, Maninder",Brampton East,Liberal,105958.07,0.00,0.00,18264.95
"Sidhu, Sonia",Brampton South,Liberal,102759.34,6050.00,29.99,52402.48
"Sikand, Gagan",Mississauga—Streetsville,Liberal,72688.89,0.00,0.00,13028.87
"Simard, Mario",Jonquière,Bloc Québécois,108723.44,12438.55,349.45,44748.80
